feedback,sentiment,category
"Honestly, i would like to schedule deliveries I need assistance.",neutral,feature_request
"For some reason, the website response time is very poor Can you fix this?",negative,performance
I am having trouble because the application is lagging badly Please look into it.,negative,performance
"Honestly, the payment page shows an error I need assistance.",negative,payment
I noticed that the application interface is easy to use Please help.,negative,ui
"Unfortunately, support took too long to respond Please help.",negative,support
"For some reason, please add more payment methods Please help.",neutral,feature_request
"Today, please add notifications for price changes This is frustrating.",neutral,feature_request
I noticed that please add notifications for price changes,neutral,feature_request
"Honestly, the app shows an error after checkout This is frustrating.",negative,bug
"Recently, i am unable to pay for my order Please look into it.",negative,payment
I noticed that please add more payment methods Please help.,neutral,feature_request
"Recently, the interface needs improvement This is frustrating.",positive,ui
"Today, the app takes too long to load This is frustrating.",negative,performance
The application closes unexpectedly Please look into it.,negative,bug
"For some reason, i am happy with the assistance I received This happens repeatedly.",positive,support
I noticed that can you add fingerprint login Please help.,neutral,feature_request
"For some reason, every screen takes a long time to open Please look into it.",negative,performance
I am having trouble because my account login keeps failing Can you fix this?,negative,login
I noticed that i am unable to pay for my order This happens repeatedly.,negative,payment
"Unfortunately, the support team solved my issue quickly This happens repeatedly.",neutral,support
I noticed that the support experience was disappointing This is frustrating.,negative,support
"For some reason, support took too long to respond Can you fix this?",negative,support
I noticed that the card payment keeps failing Please help.,negative,payment
"Recently, please add notifications for price changes I need assistance.",neutral,feature_request
I cannot verify my account Please look into it.,negative,login
"Recently, i was charged but the order was not placed Please look into it.",negative,payment
"For some reason, i have not received a response from support",positive,support
"Unfortunately, the OTP is not arriving during login This happens repeatedly.",negative,login
"Unfortunately, i am happy with the assistance I received I need assistance.",neutral,support
"Recently, the app takes too long to load I need assistance.",negative,performance
I am having trouble because i was charged but the order was not placed Please help.,negative,payment
"For some reason, the app crashes whenever I upload a file This is frustrating.",negative,bug
I am having trouble because i found a bug in the checkout process Please help.,negative,bug
"Recently, customer service was very helpful",positive,support
"Recently, i cannot login to my account This happens repeatedly.",negative,login
Support took too long to respond I need assistance.,positive,support
Pages are loading slowly This happens repeatedly.,negative,performance
"Recently, can you add fingerprint login This happens repeatedly.",neutral,feature_request
"Honestly, the app shows an error after checkout This is frustrating.",negative,bug
