feedback,processed_text,sentiment,category
"Honestly, i would like to schedule deliveries I need assistance.",honestly would like schedule delivery need assistance,neutral,feature_request
"For some reason, the website response time is very poor Can you fix this?",reason website response time poor fix,negative,performance
I am having trouble because the application is lagging badly Please look into it.,trouble application lagging badly please look,negative,performance
"Honestly, the payment page shows an error I need assistance.",honestly payment page show error need assistance,negative,payment
I noticed that the application interface is easy to use Please help.,noticed application interface easy use please help,negative,ui
"Unfortunately, support took too long to respond Please help.",unfortunately support took long respond please help,negative,support
"For some reason, please add more payment methods Please help.",reason please add payment method please help,neutral,feature_request
"Today, please add notifications for price changes This is frustrating.",today please add notification price change frustrating,neutral,feature_request
I noticed that please add notifications for price changes,noticed please add notification price change,neutral,feature_request
"Honestly, the app shows an error after checkout This is frustrating.",honestly app show error checkout frustrating,negative,bug
"Recently, i am unable to pay for my order Please look into it.",recently unable pay order please look,negative,payment
I noticed that please add more payment methods Please help.,noticed please add payment method please help,neutral,feature_request
"Recently, the interface needs improvement This is frustrating.",recently interface need improvement frustrating,positive,ui
"Today, the app takes too long to load This is frustrating.",today app take long load frustrating,negative,performance
The application closes unexpectedly Please look into it.,application close unexpectedly please look,negative,bug
"For some reason, i am happy with the assistance I received This happens repeatedly.",reason happy assistance received happens repeatedly,positive,support
I noticed that can you add fingerprint login Please help.,noticed add fingerprint login please help,neutral,feature_request
"For some reason, every screen takes a long time to open Please look into it.",reason every screen take long time open please look,negative,performance
I am having trouble because my account login keeps failing Can you fix this?,trouble account login keep failing fix,negative,login
I noticed that i am unable to pay for my order This happens repeatedly.,noticed unable pay order happens repeatedly,negative,payment
"Unfortunately, the support team solved my issue quickly This happens repeatedly.",unfortunately support team solved issue quickly happens repeatedly,neutral,support
I noticed that the support experience was disappointing This is frustrating.,noticed support experience disappointing frustrating,negative,support
"For some reason, support took too long to respond Can you fix this?",reason support took long respond fix,negative,support
I noticed that the card payment keeps failing Please help.,noticed card payment keep failing please help,negative,payment
"Recently, please add notifications for price changes I need assistance.",recently please add notification price change need assistance,neutral,feature_request
I cannot verify my account Please look into it.,verify account please look,negative,login
"Recently, i was charged but the order was not placed Please look into it.",recently charged order placed please look,negative,payment
"For some reason, i have not received a response from support",reason received response support,positive,support
"Unfortunately, the OTP is not arriving during login This happens repeatedly.",unfortunately otp arriving login happens repeatedly,negative,login
"Unfortunately, i am happy with the assistance I received I need assistance.",unfortunately happy assistance received need assistance,neutral,support
"Recently, the app takes too long to load I need assistance.",recently app take long load need assistance,negative,performance
I am having trouble because i was charged but the order was not placed Please help.,trouble charged order placed please help,negative,payment
"For some reason, the app crashes whenever I upload a file This is frustrating.",reason app crash whenever upload file frustrating,negative,bug
I am having trouble because i found a bug in the checkout process Please help.,trouble found bug checkout process please help,negative,bug
"Recently, customer service was very helpful",recently customer service helpful,positive,support
"Recently, i cannot login to my account This happens repeatedly.",recently login account happens repeatedly,negative,login
Support took too long to respond I need assistance.,support took long respond need assistance,positive,support
Pages are loading slowly This happens repeatedly.,page loading slowly happens repeatedly,negative,performance
"Recently, can you add fingerprint login This happens repeatedly.",recently add fingerprint login happens repeatedly,neutral,feature_request
"Honestly, the app shows an error after checkout This is frustrating.",honestly app show error checkout frustrating,negative,bug
"Today, the support staff were polite and professional Please look into it.",today support staff polite professional please look,neutral,support
"Recently, the password reset link is not working I need assistance.",recently password reset link working need assistance,negative,login
"Honestly, the payment page shows an error",honestly payment page show error,neutral,payment
"Recently, login takes me back to the sign in page I need assistance.",recently login take back sign page need assistance,negative,login
"Honestly, the notification is showing the wrong information I need assistance.",honestly notification showing wrong information need assistance,negative,bug
Nobody from customer support has contacted me Please help.,nobody customer support contacted please help,negative,support
"Recently, pages are loading slowly This is frustrating.",recently page loading slowly frustrating,negative,performance
"Honestly, pages are loading slowly",honestly page loading slowly,negative,performance
"Honestly, the order status is displaying incorrectly This is frustrating.",honestly order status displaying incorrectly frustrating,negative,bug
"Today, the transaction was declined Please help.",today transaction declined please help,negative,payment
"Unfortunately, i would like an option to download invoices Please look into it.",unfortunately would like option download invoice please look,neutral,feature_request
I noticed that money was deducted but the payment failed I need assistance.,noticed money deducted payment failed need assistance,negative,payment
"Honestly, i have not received a response from support Can you fix this?",honestly received response support fix,positive,support
"Recently, the customer care representative was helpful",recently customer care representative helpful,neutral,support
"Today, the interface needs improvement This happens repeatedly.",today interface need improvement happens repeatedly,negative,ui
"Honestly, the support team did not resolve my problem I need assistance.",honestly support team resolve problem need assistance,positive,support
"Recently, the design is simple and user friendly Please help.",recently design simple user friendly please help,negative,ui
I noticed that uPI payment is not going through Please look into it.,noticed upi payment going please look,negative,payment
"Honestly, the app logs me out whenever I try to sign in Please help.",honestly app log whenever try sign please help,negative,login
"Today, my account login keeps failing I need assistance.",today account login keep failing need assistance,negative,login
I noticed that uPI payment is not going through Can you fix this?,noticed upi payment going fix,neutral,payment
"Recently, the support team solved my issue quickly",recently support team solved issue quickly,negative,support
I am having trouble because the login page is not working Please help.,trouble login page working please help,neutral,login
"For some reason, the support experience was disappointing Can you fix this?",reason support experience disappointing fix,neutral,support
"Recently, it takes forever to open the dashboard Please help.",recently take forever open dashboard please help,negative,performance
I am having trouble because the new interface looks clean I need assistance.,trouble new interface look clean need assistance,neutral,ui
I noticed that the card payment keeps failing Please help.,noticed card payment keep failing please help,negative,payment
"Honestly, the dashboard looks great This is frustrating.",honestly dashboard look great frustrating,positive,ui
"Honestly, the buttons are difficult to find This is frustrating.",honestly button difficult find frustrating,positive,ui
I am having trouble because the colors and layout make the app easy to use This is frustrating.,trouble color layout make app easy use frustrating,positive,ui
"For some reason, i have not received a response from support This is frustrating.",reason received response support frustrating,positive,support
"Honestly, i cannot login to my account I need assistance.",honestly login account need assistance,negative,login
"Unfortunately, the support experience was disappointing I need assistance.",unfortunately support experience disappointing need assistance,positive,support
"Unfortunately, please provide an option to change the language Please look into it.",unfortunately please provide option change language please look,neutral,feature_request
"Recently, please add dark mode to the application I need assistance.",recently please add dark mode application need assistance,neutral,feature_request
The application is very slow Can you fix this?,application slow fix,negative,performance
"For some reason, the application is very slow This happens repeatedly.",reason application slow happens repeatedly,negative,performance
"Honestly, the colors and layout make the app easy to use Can you fix this?",honestly color layout make app easy use fix,negative,ui
"For some reason, the login page is not working Please help.",reason login page working please help,negative,login
I noticed that it takes forever to open the dashboard Can you fix this?,noticed take forever open dashboard fix,negative,performance
"Honestly, my payment failed while placing the order Please look into it.",honestly payment failed placing order please look,negative,payment
I noticed that the support staff were polite and professional Please look into it.,noticed support staff polite professional please look,positive,support
"Recently, the buttons are difficult to find This happens repeatedly.",recently button difficult find happens repeatedly,negative,ui
"Recently, it would be great to have a dark theme Please look into it.",recently would great dark theme please look,neutral,feature_request
I noticed that the website response time is very poor This happens repeatedly.,noticed website response time poor happens repeatedly,negative,performance
I noticed that the support team solved my issue quickly I need assistance.,noticed support team solved issue quickly need assistance,positive,support
The app crashes whenever I upload a file This happens repeatedly.,app crash whenever upload file happens repeatedly,negative,bug
"Honestly, money was deducted but the payment failed Please look into it.",honestly money deducted payment failed please look,negative,payment
Please add a filter for previous orders Please look into it.,please add filter previous order please look,positive,feature_request
"Today, the colors and layout make the app easy to use I need assistance.",today color layout make app easy use need assistance,negative,ui
"Recently, the customer care representative was helpful Please look into it.",recently customer care representative helpful please look,negative,support
I am having trouble because the password reset link is not working Please help.,trouble password reset link working please help,neutral,login
"Recently, my account login keeps failing Please help.",recently account login keep failing please help,negative,login
"Recently, it takes forever to open the dashboard",recently take forever open dashboard,negative,performance
"Today, please add notifications for price changes Can you fix this?",today please add notification price change fix,neutral,feature_request
I am having trouble because the app becomes slow during checkout Please help.,trouble app becomes slow checkout please help,negative,performance
I am having trouble because the design is simple and user friendly This happens repeatedly.,trouble design simple user friendly happens repeatedly,positive,ui
"Recently, the support team solved my issue quickly Can you fix this?",recently support team solved issue quickly fix,neutral,support
"Unfortunately, the colors and layout make the app easy to use Please help.",unfortunately color layout make app easy use please help,negative,ui
I noticed that support took too long to respond Please help.,noticed support took long respond please help,negative,support
"Unfortunately, the new interface looks clean I need assistance.",unfortunately new interface look clean need assistance,positive,ui
"Unfortunately, the interface needs improvement Please help.",unfortunately interface need improvement please help,neutral,ui
I noticed that the order status is displaying incorrectly,noticed order status displaying incorrectly,negative,bug
"For some reason, every screen takes a long time to open Can you fix this?",reason every screen take long time open fix,negative,performance
The customer care representative was helpful I need assistance.,customer care representative helpful need assistance,positive,support
"For some reason, the page becomes blank after clicking the button Please help.",reason page becomes blank clicking button please help,negative,bug
Pages are loading slowly This happens repeatedly.,page loading slowly happens repeatedly,negative,performance
I am having trouble because the text on the screen is too small I need assistance.,trouble text screen small need assistance,positive,ui
"Today, the support experience was disappointing This happens repeatedly.",today support experience disappointing happens repeatedly,negative,support
I am having trouble because the app shows an error after checkout I need assistance.,trouble app show error checkout need assistance,neutral,bug
"For some reason, i cannot login to my account This happens repeatedly.",reason login account happens repeatedly,negative,login
"Today, the application closes unexpectedly This is frustrating.",today application close unexpectedly frustrating,negative,bug
I noticed that the application is very slow Please look into it.,noticed application slow please look,negative,performance
I am having trouble because please add dark mode to the application Please help.,trouble please add dark mode application please help,neutral,feature_request
It takes forever to open the dashboard This is frustrating.,take forever open dashboard frustrating,negative,performance
"Today, i found a bug in the checkout process This is frustrating.",today found bug checkout process frustrating,negative,bug
"For some reason, the buttons are difficult to find Can you fix this?",reason button difficult find fix,negative,ui
"Unfortunately, login takes me back to the sign in page",unfortunately login take back sign page,negative,login
My payment is stuck This happens repeatedly.,payment stuck happens repeatedly,negative,payment
"Recently, my payment failed while placing the order This is frustrating.",recently payment failed placing order frustrating,negative,payment
"For some reason, i was charged but the order was not placed",reason charged order placed,negative,payment
"Today, i would like an option to download invoices This happens repeatedly.",today would like option download invoice happens repeatedly,neutral,feature_request
"Today, the app crashes whenever I upload a file Can you fix this?",today app crash whenever upload file fix,negative,bug
I am having trouble because something is broken in the application This happens repeatedly.,trouble something broken application happens repeatedly,negative,bug
I noticed that nobody from customer support has contacted me,noticed nobody customer support contacted,negative,support
"Unfortunately, i found a bug in the checkout process Please help.",unfortunately found bug checkout process please help,negative,bug
I noticed that customer service was very helpful This is frustrating.,noticed customer service helpful frustrating,positive,support
"Honestly, the password reset link is not working I need assistance.",honestly password reset link working need assistance,negative,login
"Recently, the app logs me out whenever I try to sign in Can you fix this?",recently app log whenever try sign fix,negative,login
I have not received a response from support This happens repeatedly.,received response support happens repeatedly,negative,support
"Today, the login page is not working I need assistance.",today login page working need assistance,negative,login
"For some reason, something is broken in the application",reason something broken application,negative,bug
