CustomerID,Age,Gender,DeviceType,TrafficSource,PagesViewed,TimeOnSite,CartItems,PreviousPurchases,AverageOrderValue,DiscountUsed,Purchase
C00001,56,Male,Mobile,Email,4,1,5,4,190,1,1
C00002,46,Female,Mobile,Social Media,9,1,3,0,266,0,0
C00003,32,Female,Desktop,Search Engine,7,7,4,7,85,1,1
C00004,25,Male,Mobile,Direct,5,4,2,1,87,0,0
C00005,38,Female,Mobile,Social Media,7,7,0,9,53,1,1
C00006,56,Female,Tablet,Email,9,5,4,6,20,1,1
C00007,36,Female,Tablet,Search Engine,10,7,3,8,170,1,1
C00008,40,Female,Mobile,Email,6,7,4,0,291,0,0
C00009,28,Female,Mobile,Social Media,1,4,1,3,277,1,0
C00010,28,Female,Desktop,Email,6,2,2,6,257,0,0
C00011,41,Male,Mobile,Search Engine,1,8,0,8,135,0,1
C00012,53,Male,Tablet,Search Engine,13,2,5,1,95,0,1
C00013,57,Male,Mobile,Social Media,12,9,3,1,38,1,1
C00014,41,Male,Desktop,Search Engine,4,5,2,5,54,0,1
C00015,20,Male,Tablet,Email,14,9,3,2,260,0,1
C00016,39,Female,Tablet,Email,8,9,4,3,26,1,1
C00017,19,Male,Tablet,Direct,5,8,3,2,56,1,1
C00018,41,Male,Tablet,Direct,5,8,3,0,172,1,1
C00019,47,Female,Mobile,Direct,13,4,4,5,264,1,1
C00020,55,Female,Desktop,Email,10,4,4,1,269,0,0
C00021,19,Male,Mobile,Email,11,2,2,1,134,0,0
C00022,38,Female,Mobile,Social Media,8,4,0,6,60,0,0
C00023,50,Female,Tablet,Direct,8,4,4,4,81,0,0
C00024,29,Female,Desktop,Email,1,6,2,7,188,0,1
C00025,39,Female,Tablet,Social Media,13,3,3,1,161,1,0
C00026,42,Male,Mobile,Email,13,2,3,9,277,0,1
C00027,44,Female,Mobile,Social Media,5,8,5,7,107,1,1
C00028,59,Male,Tablet,Direct,12,2,1,6,67,1,0
C00029,45,Male,Mobile,Direct,5,8,4,9,31,0,1
C00030,33,Female,Mobile,Direct,8,7,2,7,230,0,1
C00031,32,Female,Tablet,Email,1,3,5,2,263,0,0
C00032,20,Female,Mobile,Email,7,6,2,7,258,1,1
C00033,54,Male,Desktop,Social Media,7,6,0,5,216,1,0
C00034,24,Female,Tablet,Search Engine,13,5,5,1,276,1,1
C00035,38,Female,Desktop,Search Engine,9,8,2,5,254,0,1
C00036,26,Female,Mobile,Direct,2,5,4,4,206,1,1
C00037,56,Female,Mobile,Search Engine,3,7,2,2,220,1,0
C00038,35,Female,Tablet,Direct,4,6,1,0,122,1,0
C00039,21,Male,Mobile,Social Media,1,7,3,6,240,1,1
C00040,42,Female,Tablet,Search Engine,7,9,3,1,206,0,0
C00041,31,Female,Tablet,Search Engine,14,3,5,0,118,1,1
C00042,26,Female,Tablet,Direct,10,7,2,0,264,0,0
C00043,43,Male,Tablet,Social Media,3,3,2,6,41,0,0
C00044,19,Female,Tablet,Search Engine,3,2,2,0,87,0,0
C00045,37,Male,Desktop,Search Engine,3,7,2,8,84,0,1
C00046,45,Male,Tablet,Search Engine,8,4,1,5,236,1,0
C00047,24,Female,Desktop,Social Media,9,1,4,3,48,0,0
C00048,25,Female,Mobile,Social Media,10,6,1,3,212,0,0
C00049,52,Female,Tablet,Search Engine,13,6,1,4,75,1,1
C00050,31,Male,Mobile,Direct,14,6,1,1,231,1,0
C00051,34,Male,Tablet,Direct,2,2,3,4,257,1,0
C00052,53,Male,Desktop,Search Engine,10,1,1,1,219,1,0
C00053,57,Male,Desktop,Social Media,10,3,2,3,197,0,0
C00054,21,Male,Desktop,Search Engine,1,2,1,9,172,1,1
C00055,19,Male,Mobile,Social Media,14,6,2,4,63,1,1
C00056,23,Female,Tablet,Search Engine,9,6,5,5,187,0,1
C00057,59,Female,Mobile,Social Media,6,5,4,5,216,0,0
C00058,21,Male,Desktop,Email,14,5,3,8,93,1,1
C00059,46,Female,Mobile,Direct,9,9,4,3,190,0,1
C00060,35,Female,Desktop,Email,6,5,5,4,202,1,1
C00061,43,Male,Desktop,Direct,2,6,4,5,35,1,1
C00062,51,Male,Desktop,Social Media,1,4,3,3,87,0,0
C00063,27,Female,Tablet,Email,14,1,2,5,61,0,0
C00064,53,Male,Tablet,Direct,8,4,5,1,129,0,0
C00065,31,Male,Desktop,Search Engine,3,2,5,6,60,0,1
C00066,48,Female,Mobile,Social Media,1,3,2,2,25,1,0
C00067,32,Male,Mobile,Social Media,8,7,2,9,200,1,1
C00068,25,Female,Tablet,Search Engine,12,7,3,3,292,0,1
C00069,31,Female,Desktop,Search Engine,1,1,1,8,204,1,0
C00070,40,Female,Mobile,Direct,8,8,0,4,163,0,0
C00071,57,Female,Desktop,Social Media,1,7,1,8,119,1,1
C00072,38,Female,Mobile,Direct,9,1,1,9,109,1,1
C00073,33,Male,Tablet,Search Engine,14,8,4,9,265,1,1
C00074,35,Male,Desktop,Social Media,9,2,0,9,258,1,1
C00075,41,Male,Desktop,Search Engine,12,8,2,9,231,1,1
C00076,43,Male,Mobile,Direct,13,3,1,5,100,1,0
C00077,42,Female,Mobile,Direct,9,7,3,7,134,0,1
C00078,58,Female,Mobile,Direct,3,6,1,4,295,0,0
C00079,46,Male,Desktop,Social Media,4,5,2,4,99,0,1
C00080,32,Female,Tablet,Search Engine,5,2,1,2,75,1,0
C00081,18,Male,Tablet,Search Engine,6,2,5,6,198,0,1
C00082,42,Male,Mobile,Direct,9,1,4,1,68,1,0
C00083,24,Male,Tablet,Direct,13,9,4,2,279,1,1
C00084,26,Female,Mobile,Direct,11,8,1,1,293,1,0
C00085,41,Female,Tablet,Direct,12,8,4,7,49,0,1
C00086,18,Female,Desktop,Email,4,1,3,3,271,1,0
C00087,25,Female,Mobile,Email,14,5,0,9,82,1,1
C00088,41,Male,Tablet,Email,14,6,1,7,101,0,1
C00089,28,Female,Desktop,Direct,6,2,3,7,188,0,0
C00090,34,Female,Tablet,Direct,13,5,5,7,177,0,1
C00091,25,Female,Desktop,Search Engine,1,6,3,7,75,1,0
C00092,52,Male,Desktop,Social Media,2,9,3,7,161,1,1
C00093,52,Male,Tablet,Search Engine,8,1,5,8,168,0,1
C00094,50,Female,Tablet,Email,4,3,2,1,245,1,0
C00095,22,Female,Desktop,Search Engine,10,9,1,8,44,1,1
C00096,59,Female,Desktop,Direct,7,1,1,7,197,1,0
C00097,56,Female,Desktop,Email,4,1,1,9,114,0,0
C00098,58,Male,Mobile,Email,14,1,0,0,72,1,0
C00099,45,Female,Desktop,Social Media,9,7,3,4,89,0,1
C00100,24,Female,Mobile,Social Media,9,5,1,1,195,0,0
C00101,26,Female,Desktop,Email,4,6,4,9,151,0,1
C00102,25,Male,Mobile,Email,13,8,2,4,232,1,1
C00103,29,Male,Desktop,Search Engine,8,2,5,7,230,1,1
C00104,51,Female,Desktop,Email,6,2,5,8,83,1,1
C00105,50,Female,Desktop,Direct,1,3,0,8,54,0,0
C00106,40,Female,Tablet,Search Engine,7,3,5,0,31,0,0
C00107,41,Female,Tablet,Direct,1,3,2,6,267,1,1
