text,sentiment
The direction was tedious and boring,negative
The performance was mediocre,neutral
The story was so-so,neutral
The direction was passable,neutral
I really enjoyed this plot,positive
The film was a chore to watch,negative
The direction was neither good nor bad,neutral
"Horrible film, one of the worst I have seen",negative
I was disappointed by the plot,negative
The cinematography was so-so,neutral
The cinematography was confusing and poorly written,negative
"Very good story, well worth watching",positive
"Great screenplay, highly recommended",positive
The movie was a complete disaster,negative
The acting was dull and uninteresting,negative
The story had some good and some average parts,neutral
The cinematography was terrible,negative
It was a fairly typical screenplay,neutral
It was a fairly typical cinematography,neutral
I loved every moment of this acting,positive
The story was just okay overall,neutral
The show was amazing,positive
I wasted my time watching this film,negative
"The story was fine, nothing more",neutral
"The cinematography was okay, could have been better",neutral
The movie was acceptable but not great,neutral
"Fantastic movie, I would watch it again",positive
"Amazing acting, one of the best I have seen",positive
"Great plot, highly recommended",positive
Poor screenplay with weak performances,negative
"The plot was fine, nothing more",neutral
The cinematography was watchable but average,neutral
"It was a normal plot, nothing outstanding",neutral
I wasted my time watching this show,negative
The direction was a masterpiece,positive
The performance was a delight to watch,positive
The cinematography was moderately entertaining,neutral
"Fantastic show, I would watch it again",positive
The plot was awful from start to finish,negative
The film was a delight to watch,positive
The cinematography was neither impressive nor disappointing,neutral
Brilliant show with great performances,positive
The film was tedious and boring,negative
I did not enjoy this screenplay at all,negative
"Terrible plot, not recommended",negative
The direction was charming and heartfelt,positive
The screenplay was neither impressive nor disappointing,neutral
The show was very boring,negative
The movie was very boring,negative
The cinematography was thrilling and enjoyable,positive
The screenplay was very boring,negative
"Terrible cinematography, hated the ending",negative
The screenplay kept me entertained throughout,positive
"Fantastic acting, I would watch it again",positive
I was impressed by the acting,positive
"It was an average performance, nothing memorable",neutral
I really enjoyed this film,positive
I hated this film,negative
The story was very boring,negative
The cinematography was awful from start to finish,negative
An ordinary direction overall,neutral
The performance kept me entertained throughout,positive
This movie exceeded my expectations,positive
"Horrible acting, one of the worst I have seen",negative
The show was a masterpiece,positive
"Terrible film, hated the ending",negative
The cinematography was reasonably fine,neutral
Poor performance with weak performances,negative
The performance was okay,neutral
The direction was a complete disaster,negative
A truly outstanding movie,positive
The story was middle of the road,neutral
The direction was just okay overall,neutral
The movie was passable,neutral
The acting was neither impressive nor disappointing,neutral
The screenplay was mediocre,neutral
"Horrible cinematography, one of the worst I have seen",negative
The acting was so-so,neutral
Brilliant acting with great performances,positive
The performance was absolutely wonderful,positive
"Awful direction, I would not watch it again",negative
Brilliant cinematography with great performances,positive
Excellent acting and story,positive
The acting was passable,neutral
The show was watchable but average,neutral
The performance was poorly made,negative
This plot was a huge letdown,negative
This performance exceeded my expectations,positive
This story exceeded my expectations,positive
"Amazing film, one of the best I have seen",positive
The plot was a chore to watch,negative
The movie was okay,neutral
"Incredible direction, loved the ending",positive
A truly outstanding film,positive
The performance was a complete disaster,negative
The movie was watchable but average,neutral
"It was a normal screenplay, nothing outstanding",neutral
I did not enjoy this performance at all,negative
"Horrible plot, one of the worst I have seen",negative
The acting was watchable but average,neutral
What a disappointing acting,negative
The acting was moderately entertaining,neutral
The plot was plain and predictable,neutral
The plot was a delight to watch,positive
Bad cinematography with a weak cast,negative
The movie was awful from start to finish,negative
I loved every moment of this film,positive
"The film was fine, nothing more",neutral
I was impressed by the performance,positive
The film was acceptable but not great,neutral
The direction was acceptable but not great,neutral
What a fantastic film,positive
"Very bad acting, not worth watching",negative
"Very good plot, well worth watching",positive
The movie was a chore to watch,negative
The story was passable,neutral
The plot was just okay overall,neutral
The show was confusing and poorly written,negative
The plot was watchable but average,neutral
I did not enjoy this acting at all,negative
The plot was middle of the road,neutral
The acting was middle of the road,neutral
"Very good movie, well worth watching",positive
The direction was confusing and poorly written,negative
The performance was very boring,negative
The acting was amazing,positive
The screenplay was terrible,negative
"Terrible show, hated the ending",negative
The film was okay,neutral
The direction was very boring,negative
The direction was okay,neutral
The film had some good and some average parts,neutral
I really enjoyed this direction,positive
What a fantastic screenplay,positive
Nothing special about the performance,neutral
"Incredible plot, loved the ending",positive
"It was an average cinematography, nothing memorable",neutral
The show was thrilling and enjoyable,positive
The film kept me entertained throughout,positive
"Very good performance, well worth watching",positive
I was impressed by the show,positive
The acting was terrible,negative
The film was watchable but average,neutral
The story was a chore to watch,negative
"It was an average show, nothing memorable",neutral
The cinematography was absolutely wonderful,positive
The acting was confusing and poorly written,negative
A truly outstanding cinematography,positive
The show was average,neutral
The film was charming and heartfelt,positive
Brilliant direction with great performances,positive
It was a fairly typical direction,neutral
The movie was plain and predictable,neutral
I had a great time watching this plot,positive
The show was beautifully made,positive
The film was neither impressive nor disappointing,neutral
Poor acting with weak performances,negative
The acting was poorly made,negative
What a disappointing film,negative
The cinematography was a delight to watch,positive
The film was average,neutral
I loved every moment of this plot,positive
The film was awful from start to finish,negative
The performance was middle of the road,neutral
It was a fairly typical film,neutral
I had a great time watching this story,positive
The plot was tedious and boring,negative
The show was charming and heartfelt,positive
Brilliant film with great performances,positive
The plot had some good and some average parts,neutral
The performance was charming and heartfelt,positive
"Amazing plot, one of the best I have seen",positive
"Very bad film, not worth watching",negative
The plot was reasonably fine,neutral
The plot was poorly made,negative
I hated this cinematography,negative
This acting exceeded my expectations,positive
The screenplay was awful from start to finish,negative
"Terrible plot, hated the ending",negative
"Terrible acting, hated the ending",negative
