feedback,sentiment,categories
The application becomes extremely slow when I have many items in the cart Hope this gets fixed soon.,negative,performance
"For what it's worth, a longer session timeout would reduce the need to re-authenticate.",neutral,login
"To be honest, having social login options would be convenient.",neutral,login
Biometric login stopped working after the latest update And email replies take more than 48 hours and often miss the point.,negative,"login,support"
"Lately everything has been running stably for the past few weeks On top of that, the newly introduced filters have made shopping much easier. Furthermore, customer support resolved my issue within minutes and were very polite.",positive,"bug,feature_request,support"
A denser information layout might help experienced users Hope this gets fixed soon.,neutral,ui
"Honestly, the knowledge base articles are useful but could cover more edge cases.",neutral,support
"Notifications keep appearing even after I have dismissed them Plus, i keep getting account not found despite having registered last week. Also, the support chat bot only gives canned replies that do not address my problem.",negative,"bug,login,support"
One problem I keep seeing is that account access has been reliable every time I need it.,positive,login
"Everything has been running stably for the past few weeks Additionally, navigation is smooth and pages respond almost instantly.",positive,"bug,performance"
"For what it's worth, the recently added recommendation engine is surprisingly accurate Also, i like the new visual style; everything feels modern and polished.",positive,"feature_request,ui"
"The filter options stop working after the first selection Plus, navigation feels cluttered and important options are buried deep Thanks!",negative,"bug,ui"
"Quick note: i would like to see integration with more third-party wallets And the login form could remember my username for next time. Plus, the payment screen could list accepted cards more clearly.",neutral,"feature_request,login,payment"
The support chat bot only gives canned replies that do not address my problem And the dark mode has white text on light backgrounds in several places.,negative,"support,ui"
"A longer session timeout would reduce the need to re-authenticate Plus, is there a dedicated phone line for premium members?.",neutral,"login,support"
"The new biometric login option is really convenient Plus, live chat support was available immediately and solved everything quickly Thanks!",positive,"login,support"
I cannot complete the purchase because the payment button stays disabled.,negative,payment
"The newly introduced filters have made shopping much easier Plus, account access has been reliable every time I need it.",positive,"feature_request,login"
"The money left my account but the order never appeared in my history At the same time, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"payment,ui"
Unfortunately the new interface is confusing and I'm unable to find the settings menu.,negative,ui
"A longer session timeout would reduce the need to re-authenticate On top of that, speed is fine most of the time but dips during sales events. Plus, i would prefer a simpler layout with fewer colors This is frustrating.",neutral,"login,performance,ui"
"After logging out I am unable to log back in on the same device Furthermore, menus hide behind gestures that are hard to discover.",negative,"login,ui"
"For what it's worth, the filter options stop working after the first selection Besides that, trying to pay with my saved card always results in an authorization error.",negative,"bug,payment"
"Missing the ability to save multiple shipping addresses is inconvenient Also, scrolling through the product list is choppy and freezes frequently Would appreciate a fix.",negative,"feature_request,performance"
"Live chat support was available immediately and solved everything quickly On top of that, layout and spacing feel comfortable on both phone and tablet Happened more than once already.",positive,"support,ui"
Quick note: pages take more than ten seconds to render after I click a link Would appreciate a fix.,negative,performance
"The filter options stop working after the first selection On top of that, money was deducted from my account yet I never received a confirmation. Furthermore, images load so slowly that the page feels incomplete for a long time Hope this gets fixed soon.",negative,"bug,payment,performance"
"The payment options are convenient and processed instantly Furthermore, performance has improved a lot after the recent update.",positive,"payment,performance"
One problem I keep seeing is that loading the homepage alone consumes a lot of data and battery.,negative,performance
"Clicking the save button does nothing and changes are lost Plus, font sizes are inconsistent across different screens Happened more than once already.",negative,"bug,ui"
Overall clicking the save button does nothing and changes are lost.,negative,bug
"The whole checkout flow felt secure and fast On top of that, performance has improved a lot after the recent update. And live chat support was available immediately and solved everything quickly.",positive,"payment,performance,support"
Paying was straightforward and I received the receipt right away And live chat support was available immediately and solved everything quickly This is frustrating.,positive,"payment,support"
Login works on desktop but fails consistently on the mobile app And the dark mode has white text on light backgrounds in several places.,negative,"login,ui"
Quick note: navigation feels cluttered and important options are buried deep.,negative,ui
One problem I keep seeing is that speed is fine most of the time but dips during sales events kindly look into it.,neutral,performance
I've noticed that getting a human agent feels nearly impossible through the chat.,negative,support
I cannot sign in after changing my password yesterday Thanks!,negative,login
The newly introduced filters have made shopping much easier And the agent understood the problem right away and fixed it.,positive,"feature_request,support"
The checkout process aborted halfway and I am not sure if I was charged Thanks!,negative,payment
The whole experience is sluggish compared to similar services Looking forward to an update.,negative,performance
"Thankfully search results take ages to appear and sometimes never load Plus, navigation feels cluttered and important options are buried deep.",negative,"performance,ui"
Just a heads-up: kindly add the ability to share product links directly to messaging apps.,neutral,feature_request
"To be honest, a rare flicker happens when opening the profile section Also, the font size could be adjustable for better readability.",neutral,"bug,ui"
"Lately no unexpected errors so far this month Besides that, i was able to complete the purchase in just a few clicks. Besides that, i like the new visual style; everything feels modern and polished This is frustrating.",positive,"bug,payment,ui"
The newly introduced filters have made shopping much easier Happened more than once already.,positive,feature_request
"kindly consider adding support for more regional languages Additionally, i wish there was an option to stay logged in for longer periods.",neutral,"feature_request,login"
Search returns no results even for products I know exist Would appreciate a fix.,negative,bug
I've noticed that pages take more than ten seconds to render after I click a link.,negative,performance
"Notifications keep appearing even after I have dismissed them And oTP verification fails every single time I try to access my account. Additionally, font sizes are inconsistent across different screens.",negative,"bug,login,ui"
"For what it's worth, i cannot sign in after changing my password yesterday Plus, font sizes are inconsistent across different screens.",negative,"login,ui"
"There might be a minor display glitch on certain Android versions Furthermore, speed is fine most of the time but dips during sales events.",neutral,"bug,performance"
"The cart empties itself for no apparent reason On top of that, i really need a dark mode option that actually works system-wide. Additionally, phone support put me on hold for twenty minutes and then the call dropped.",negative,"bug,feature_request,support"
Sign-in with my email takes only a second,positive,login
In my experience buttons are tiny on my phone – please add a more touch-friendly design.,neutral,"feature_request,ui"
Quick note: a denser information layout might help experienced users.,neutral,ui
"Scrolling through the product list is choppy and becomes unresponsive frequently On top of that, the dark mode has white text on light backgrounds in several places Please look into it.",negative,"performance,ui"
"Just a heads-up: no unexpected errors so far this month Plus, customer support resolved my issue within minutes and were very polite.",positive,"bug,support"
"There is still no way to export my order history as a PDF On top of that, i keep getting an error message every time I select a payment method. At the same time, the layout looks broken on tablet screens and elements overlap.",negative,"feature_request,payment,ui"
